T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,T,M1,M2,M3,Wb1,Wb2,Wb3
0.997767448,-0.039350137,-0.043116985,0.226118003,0.017078781,-0.004766511,0.000352213,-0.758478691,-0.078093955,0.860914725,0,0,0,0,0,0,0,0,0,0
1.008298159,-0.036705839,-0.040312643,0.211345346,0.005632117,-0.000922203,0.002618251,-0.70915369,-0.073335456,0.804501626,0,0,0,0,0,0,0,0,0,0
1.018704414,-0.035800261,-0.039303416,0.206136001,-0.001441058,0.001437258,0.003669935,-0.693350515,-0.072915948,0.785429985,0,0,0,0,0,0,0,0,0,0
1.02916503,-0.036177037,-0.039636349,0.208052436,-0.005726187,0.00286059,0.004084576,-0.702254851,-0.075531757,0.794009982,0,0,0,0,0,0,0,0,0,0
1.039503336,-0.035573071,-0.038862799,0.204198131,-0.007695769,0.003430948,0.003868971,-0.69187267,-0.076167752,0.780734078,0,0,0,0,0,0,0,0,0,0
1.049846888,-0.035823741,-0.039042946,0.20537003,-0.006139427,0.003180612,0.006538329,-0.69790223,-0.078101652,0.786237999,0,0,0,0,0,0,0,0,0,0
1.060969591,-0.040936289,-0.044623794,0.234682579,-0.000296625,-0.000141992,0.000142283,-0.798576228,-0.088742247,0.898711235,0,0,0,0,0,0,0,0,0,0
1.071371794,-0.036187579,-0.039546395,0.207489287,0.003573328,-0.004333609,-0.016975249,-0.706488411,-0.076183185,0.79457413,0,0,0,0,0,0,0,0,0,0
1.081790447,-0.036179182,-0.039661827,0.207332198,0.003605757,-0.006371768,-0.028828708,-0.70650995,-0.073292737,0.794205044,0,0,0,0,0,0,0,0,0,0
1.092181444,-0.035974891,-0.039625833,0.20599719,0.005755434,-0.010062634,-0.045686546,-0.702451729,-0.068849811,0.789389013,0,0,0,0,0,0,0,0,0,0
1.102664948,-0.036485916,-0.040521984,0.209197003,0.014692101,-0.01427646,-0.054853379,-0.712217193,-0.064373187,0.800967684,0,0,0,0,0,0,0,0,0,0
1.113320112,-0.037375088,-0.041976868,0.21529203,0.025258545,-0.015667802,-0.045941687,-0.729333608,-0.060019669,0.822059663,0,0,0,0,0,0,0,0,0,0
1.123626709,-0.035029004,-0.039702406,0.202615408,0.020052783,-0.011399937,-0.031300646,-0.683314774,-0.05191862,0.771779225,0,0,0,0,0,0,0,0,0,0
1.13398385,-0.035334016,-0.04021033,0.204630603,0.008254623,-0.005676635,-0.019492955,-0.689007771,-0.050149092,0.778853089,0,0,0,0,0,0,0,0,0,0
